医薬品名,効能,注意事項,使用方法,保存方法
メトクロプラミド５mg,このお薬は、消化管運動機能改善剤です。胃・十二指腸などの運 動機能低下、食欲不振、嘔吐の改善などに使用されます。,本剤投与後、異常がみられた場合はすぐに獣医師にご相談くださ い。,獣医師の指示のもと、用法用量を守って、正しくご使用ください。,室温で保存してください。
プリンペラン,このお薬は、消化管運動機能改善剤です。胃・十二指腸などの運 動機能低下、食欲不振、嘔吐の改善などに使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さ い。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
ﾒﾄﾞﾛｰﾙ錠4mg,このお薬は、合成副腎皮質ホルモン剤です。炎症性疾患や免疫性 疾患などに使用されます。,本剤投与後、食欲が増したり、多飲になる場合があります。その 他、異常がみられた場合は獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。指示 がない限り途中で投与を中止しないで下さい。,室温で保存して下さい。
メバロチン錠5,このお薬は、高脂血症の治療薬です。脂質の代謝異常を改善しま す。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さ い。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
ﾒﾗﾄﾆﾝ3㎎（海外薬）,このお薬は、ホルモン剤です。脱毛症、問題行動、睡眠障害などの 治療に使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さ い。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。 密閉容器に入れて、,室温で保存して下さい。
メラトニン5mg（海外薬）,このお薬は、ホルモン剤です。脱毛症、問題行動、睡眠障害などの 治療に使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さ い。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。 密閉容器に入れて、,室温で保存して下さい。
ﾒﾙｶｿﾞｰﾙ錠5mg,このお薬は、抗甲状腺剤です。甲状腺機能亢進症の治療に使用さ れ、過剰な甲状腺ホルモンの合成を抑制します。 このお薬は、感染性外耳炎治療剤です。細菌や真菌による外耳炎 の治療に使用されます。 本剤使用後、異常がみられた場合は使用を中止し、獣医師にご相 談下さい。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さ い。定期的な検診が必要になります。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。 獣医師の指示のもと、用法用量を守り、開封後は、同封の投与補 助器に取替えてご使用下さい。 直射日光・,室温で保存して下さい。 ﾓﾒﾀｵﾃｨｯｸ(215g) 高温を避けて保存して下さい。投与補助器をつけたまま 保存する場合は、蓋をして下さい。
ﾕﾍﾞﾗ錠50mg,このお薬は、ビタミンE製剤です。ビタミンEの欠乏症、末梢循環障害 の治療や過酸化脂質の増加防止などに使用されます。,本剤投与後、便秘、下痢、発疹などが起こることがあります。異常 がみられた場合はすぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。 湿気を避けて、,室温で保存して下さい。処方期間を過ぎた薬は廃棄 して下さい。
ユベ-E錠100㎎,このお薬は、ビタミンE製剤です。ビタミンEの欠乏症、末梢循環障害 の治療や過酸化脂質の増加防止などに使用されます。 このお薬は、便秘や肝性脳症の治療などに使用されます。,本剤投与後、便秘、下痢、発疹などが起こることがあります。異常 がみられた場合はすぐ獣医師にご相談ください。 本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さ い。,獣医師の指示のもと、用法用量を守って、正しくご使用ください。 湿気を避けて、 獣医師の指示のもと、用法用量を守って、正しくご使用下さい。便秘 治療の際には、便の様子を見ながら調整して下さい。,室温で保存して下さい。処方期間を過ぎた薬は破棄 して下さい。 ﾗｸﾂﾛｰｽ･ｼﾛｯﾌﾟ60%｢ｺｰﾜ｣ 気密容器に入れて、涼しい所で保存して下さい。
ﾗｼｯｸｽ錠20mg,このお薬は、利尿剤です。うっ血性心不全や肺水腫の症状の改善 のために使用されます。,本剤投与後、過度の渇き、無気力、乏尿、胃腸障害など異常がみら れた場合はすぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。 光を避けて、,室温で保存して下さい。
ラニチジン75ｍｇ,このお薬は、Ｈ2ブロッカーです。胃・十二指腸の潰瘍などの治療に 使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さ い。,獣医師の指示のもと、用法用量を守って、正しくご使用ください。 光と 湿気を避けて、,室温で保存して下さい。
ラニチジン,このお薬は、H2ブロッカーです。胃・十二指腸の潰瘍などの治療に 使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談くださ い。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。 光と 湿気を避けて、,室温で保存して下さい。
ﾗｯｶﾙﾐﾝ錠25mg,このお薬は、利尿剤です。うっ血性心不全や肺水腫の症状の改善 のために使用されます。 このお薬は、セフェム系第1世代の抗生物質です。細菌感染の治療 に使用されます。 このお薬は、セフェム系第1世代の抗生物質です。細菌感染の治療 に使用されます。,本剤投与後、消化器症状、神経症状などがみられた場合はすぐに 獣医師にご相談下さい。 本剤投与後、嘔吐、下痢などの消化器症状や、その他の異常がみ られた場合は、すぐに獣医師にご相談下さい。 本剤投与後、嘔吐、下痢などの消化器症状や、その他の異常がみ られた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。 光を避けて、 獣医師から指示された用法用量を必ず守って下さい。指示のない 限り、途中で投与を中止しないで下さい。 光を避けて、 獣医師から指示された用法用量を必ず守って下さい。指示のない 限り、途中で投与を中止しないで下さい。 光を避けて、,室温で保存して下さい。 ﾗﾘｷｼﾝﾄﾞﾗｲｼﾛｯﾌﾟ小児用10% 室温で保存して下さい。 ﾗﾘｷｼﾝﾄﾞﾗｲｼﾛｯﾌﾟ小児用20% 室温で保存して下さい。
ラプロス,このお薬は、プロスタサイクリン誘導薬で、猫の慢性腎臓病に使用 されます。腎機能低下を抑え、症状の改善を目的に使用されます。,本剤投与後に異常がみられた場合はすぐに獣医師にご相談くださ い。,獣医師の指示のもと、用法用量を守って使用して下さい。 本剤は、食後に投与してください。 気密容器に入れ、 光を避けて,室温で保存して下さい。
リパクレオンカプセル150ｍｇ,このお薬は、消化酵素剤です。膵外分泌不全の治療などに使用さ れます。,本剤投与後、異常が見られた場合は獣医師にご相談ください。,獣医師の指示のもと、決められた用量を投与してください。,
リコンサイル錠 8mg,このお薬は、行動療法を伴う分離不安の治療補助に使われます。,本剤投与後、異常がみられた場合は獣医師にご相談下さい。 本剤は要指示医薬品です。獣医師の処方箋、指示のもと、用法用 量を守って正しくご使用下さい。 直射日光、高温多湿を避け保管してください。,,
リマプロストアルファデクス錠,リレキシペット300 このお薬は、セフェム系第１世代の抗生物質です。細菌感染の治療 に使用されます。,本剤投与後、嘔吐、下痢などの消化器症状や、その他の異常がみ られた場合は、すぐに獣医師にご相談ください。,獣医師の指示された用法用量を必ず守ってください。指示のない限 り、途中で投与を中止しないでください。,気密容器に入れて保存してください。
リレキシペットA錠600,このお薬は、抗生物質です。細菌感染の治療に使用されます。,本剤投与後、嘔吐、下痢などの消化器症状や、その他の異常がみ られた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しく与えて下さい。 気密容器に入れて,室温保存して下さい。
ﾘﾝﾊﾟｸﾄﾃﾞﾘﾀﾌﾞ,この製品は、3種のキノコから抽出された成分を、犬猫の,嗜好性が 高い素材に配合した犬猫用サプリメントです。 給与後、異常がみられた場合は、すぐに獣医師にご相談下さい。 獣医師に相談の上、正しく与えて下さい。 直射日光と 湿気を避けて、,,室温で保存して下さい。
ﾙﾌﾟﾗｯｸ錠4mg,このお薬は、利尿剤です。うっ血性心不全や肺水腫の症状の改善 のために使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さ い。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
ﾙﾌﾟﾗｯｸ錠8mg,このお薬は、利尿剤です。うっ血性心不全や肺水腫の症状の改善 のために使用されます。 この製品は、LR（ルンブルクスルベルス）末を主成分とした動物用 のサプリメントです。 給与後、異常がみられた場合は、すぐに獣医師にご相談下さい。 獣医師に相談の上、正しく与えて下さい。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さ い。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。 ﾙﾝﾜﾝS 室温で保存して下さい。
ﾚｸﾁｿﾞｰﾙ錠25mg,このお薬は、人のハンセン病治療薬です。動物では天庖瘡等の治 療に使用されます。,本剤投与後、異常がみられた場合は投与を中止し、すぐに獣医師 にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。 光を避けて、,室温で保存して下さい。
ﾚｺﾙｸ錠25mg,このお薬は、前立腺肥大症治療薬です。前立腺の肥大に伴う排尿 障害、頻尿、残尿感などを改善します。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さ い。定期的な検査が必要です。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
レセプロン錠100 辰巳化学,このお薬は経口の蛋白分解酵素阻害剤です。膵炎やＤＩＣの治療時 に使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談くださ い。,,
レスタミン,このお薬は抗ヒスタミン剤です。アレルギーの症状を誘発するヒスタ ミンなどの発生を抑えます。,本剤投与後に嘔吐などの異常がみられた場合は、すぐに獣医師に ご相談ください。,獣医師の指示のもと、用法用量を守って正しく与えてください。 直射日 光を避け、,室温で保存してください。
レペタン,このお薬は、鎮痛剤で、術後鎮痛や癌疼痛などにも用いられます。 軽度の鎮静作用もあります。,本剤投与後、異常が認められた場合はすぐに獣医師にご相談くだ さい。,獣医師の指示のもと、用法用量を守って、正しくご使用ください。,
ﾚﾍﾞﾝﾀ,このお薬は、甲状腺ホルモン剤です。甲状腺ホルモンを補充・治療 するために使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さ い。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。指示 がない限り途中で投与を中止しないで下さい。,冷蔵庫（2～8℃）で保存してください。
レベチラセタム錠250ｍｇ,このお薬は、てんかん発作を抑制・軽減するお薬です。 投与初期に、元気がない、食欲がない、寝てばかりいる、ふらつくな どの症状がみられる場合があります。,,獣医師の指示のもと、用法用量を守って正しくご使用下さい。 湿気を避け、,室温で保存してください。
レネバル錠15,このお薬は、ニューキノロン系の抗菌剤です。細菌感染の治療に使 用されます。,本剤投与後、嘔吐、下痢などの消化器症状や、その他の異常が見 られた場合は、すぐ獣医師にご相談ください。,獣医師から指示された用法用量を必ず守ってください。指示のない 限り、途中で投与を中止しないでください。,小児の手の届かないところで保存してください。
レメロン,このお薬は、ノルアドレナリン作動性・特異的セロトニン作動性抗う つ薬です。動物では、嘔吐の抑制、食欲増進目的で使用されます。,本剤投与後、異常がみられた場合はすぐに獣医師にご相談下さ い。,獣医師の指示のもと、用法用量を守って正しくご使用下さい。 室内で保存して下さい。,
ﾛｷｿﾆﾝ錠60mg,このお薬は、非ステロイド性消炎鎮痛剤です。痛みや炎症を抑えま す。,本剤投与後、食欲不振、嘔吐等 がみられた場合はすぐに獣医師にご相談下さい。 空腹時の投与を避けて、食事に混ぜるか、食後に与えて下さい。,空腹時には投与しないで下さい。,室温で保存して下さい。
ﾛﾍﾟﾗﾆｰﾙｶﾌﾟｾﾙ1mg,このお薬は、下痢の治療薬です。異常な腸管蠕動の抑制により下 痢を治します。,本剤投与後、便秘、嘔吐が起こることがあります。異常がみられた 場合はすぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,気密容器に保存して下さい。
ロペラミド錠1mg,このお薬は、下痢の治療薬です。腸管蠕動の抑制などにより下痢 を治します。,本剤投与後、便秘、嘔吐が起こることがあります。異常がみられた 場合はすぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。 湿気を避けて、,室温で保存して下さい。
ロペラミド塩酸塩カプセル1ｍｇ,このお薬は、下痢の治療薬です。腸管蠕動の抑制により下痢を治し ます。,本剤投与後、便秘、嘔吐が起こることがあります。異常がみられた 場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,気密容器に入れて保存して下さい。 ロニダゾール（海外薬）
塩化ﾘｿﾞﾁｰﾑ錠｢ｲﾜｷ｣30mg,このお薬は、消炎酵素剤です。炎症による腫れを抑え、たんや膿を 溶かして排泄させやすくします。,本剤投与後、異常がみられた場 合は、すぐに獣医師にご相談下さい。 空腹時の投与を避けて、食事と一緒、もしくは食後に与えて下さい。 光と 湿気を避けて、 本剤投与後、食欲、食水、尿量がますことがあります。また、嘔吐や 下痢がみられる場合があります。,空腹時には投与しないで下さい。 獣医師の指示のもと、用法用量を守り、食事に混ぜて投与して下さ い。 飲ませる際にはよく振ってから投与して下さい。 気密容器に入れて、,室温で保存して下さい。 臭化ｶﾘｳﾑ この薬は、抗てんかん剤です。脳神経の興奮を抑えることができま す。 効果が認められるまで２カ月ほどかかります。 室温で保存して下さい。
ガリプラント錠20ｍｇ,この製品は、犬の非ステロイド性消炎鎮痛剤です。痛みや炎症を抑 えます。,本製品を使用後、異常がみられた場合は、すぐに獣医師にご相談 下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,高温および多湿を避けて保存してください。
アトモアチュアブル25ｍｇ,難治性のアトピー性皮膚炎における症状の緩和,,,
アトモアチュアブル50ｍｇ,難治性のアトピー性皮膚炎における症状の緩和,,,
ガリプラント錠60㎎,この製品は、犬の非ステロイド性消炎鎮痛剤です。痛みや炎症を抑 えます。,本製品を使用後、異常がみられた場合は、すぐに獣医師にご相談 下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,高温および多湿を避けて保存してください。
アクロマイシンV カプセル250mg,このお薬は、テトラサイクリン系の抗生物質です。細菌感染の治療 や、免疫系の疾患の治療等に使用されます。,本剤投与後、嘔吐、下痢などの消化器症状や、その他の異常がみ られた場合は、すぐに獣医師にご相談下さい。,獣医師から指示された用法用量を必ず守って下さい。指示のない 限り、途中で投与を中止しないで下さい。 湿気を避けて、,室温で保存して下さい。
クロロマイセチン錠250,このお薬は、クロラムフェニコール系の抗生物質です。細菌感染の 治療に使用されます。,本剤投与後、嘔吐、下痢などの消化器症状や、その他の異常がみ られた場合は、すぐに獣医師にご相談下さい。,獣医師から指示された用法用量を必ず守って下さい。指示のない 限り、途中で投与を中止しないで下さい。,室温で保存して下さい。
ホリゾン錠５ｍｇ,このお薬は、ベンゾジアゼピン系の抗うつ剤です。脳内の神経細胞 の働きを抑制することによって、不安や緊張を和らげます。,本剤投与後、行動の変化（興奮や鎮静など）が見られた場合、すぐ に獣医師にご相談ください。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
メトリジン錠２mg,末梢血管を収縮させて、血圧を上昇させる作用があります。心臓や 脳の血管にはほとんど作用しません。 通常、本態性低血圧症や起立性低血圧症の治療に用いられます。 以前に薬や食べ物で、かゆみ、発疹などのアレルギー症状が出た ことがある。甲状腺機能亢進症、褐色細胞腫、心臓障害、血管障 害、腎障害、高血圧、前立腺肥大に伴う排尿困難 妊娠または授乳中 他に薬を使っている（お互いに作用を強めたり、弱めたりする可能 性もありますので、大衆薬も含めて他に使用中の医薬品に注意し てください）。 乳幼児、小児の手の届かないところで、直射日光、高温、湿気を避 けて保管してください。 薬が残った場合、保管しないで廃棄してください。,,,
アルファロール,このお薬は、ビタミンD製剤です。ビタミンD不足が原因で発症した、 低カルシウム血症などの治療に使用されます。,本剤投与後、十分水分をとって下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。 気密容器に入れ、 光を避けて,室温で保存して下さい。
ラキソベロン内用液0.75％,このお薬は、便秘の治療薬です。術後や造影剤投与後の排便も促 進します。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さ い。,獣医師の指示のもと、便の様子を見ながら、調整して投与して下さ い。 気密容器に入れて、,室温で保存して下さい。
セミントラ 4mg/ml経口液猫 30ml,このお薬は、慢性腎臓病の猫における尿蛋白の漏出を緩和させま す。また、全身性高血圧症の治療に使用するお薬です。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さ い。,獣医師の指示のもと、用法用量を守って正しく与えて下さい。 気密容器に入れ、 直射日光と 高温多湿を避けて、,室温で保存して 下さい。
フォーサイロン錠400μg,バイコックス 1ml,,,
イソソルビド内用液（イソバイドシロップ）,このお薬は、緑内障の治療薬として眼圧の低下、脳内疾患の治療 として脳圧の減少、無尿時の治療として尿量の増加などを期待して 使われます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さ い。,獣医師の指示に従い、1日2-3回服用してください。 気密容器に入れて、,室温で保存して下さい。
ベザフィブラートSR錠,高脂血症のお薬です,,,
アテノロール錠25㎎,このお薬は、慢性心不全治療薬です。僧帽弁閉鎖不全症や心筋症 などの治療に使用されます。,本剤投与後、食欲低下・めまい・ふらつき等の異常がみられた場合 は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存してください。
